date,year,month,sum,mean,pixels,region,type
2024-09-01,2024,9,15975.019956886768,0.671783850163447,23780,Leh (Ladakh),Raw
2024-10-01,2024,10,17424.959936767817,0.7307901332313294,23844,Leh (Ladakh),Raw
2024-11-01,2024,11,18041.039937868714,0.7624155828875762,23663,Leh (Ladakh),Raw
2024-12-01,2024,12,17665.34995860979,0.7409029886595558,23843,Leh (Ladakh),Raw
2025-01-01,2025,1,16911.58994966559,0.7210842941058965,23453,Leh (Ladakh),Raw
2025-02-01,2025,2,16813.679979622364,0.8328964174777017,20187,Leh (Ladakh),Raw
2025-03-01,2025,3,16832.849957846105,0.7330742077278157,22962,Leh (Ladakh),Raw
2025-04-01,2025,4,17642.75993476808,0.7423529384317126,23766,Leh (Ladakh),Raw
2025-05-01,2025,5,15588.279943324625,0.6570956431869758,23723,Leh (Ladakh),Raw
2025-06-01,2025,6,14953.699960267171,0.6290203154951908,23773,Leh (Ladakh),Raw
2025-07-01,2025,7,13622.719972899184,0.5751866227368343,23684,Leh (Ladakh),Raw
2025-08-01,2025,8,12973.250013172626,0.5478568417724927,23680,Leh (Ladakh),Raw
2025-09-01,2025,9,16942.59994084388,0.7146665516870072,23707,Leh (Ladakh),Raw
2025-10-01,2025,10,16753.409937530756,0.7025963488165551,23845,Leh (Ladakh),Raw
2025-11-01,2025,11,13494.490026384592,0.5761459323023052,23422,Leh (Ladakh),Raw
2025-12-01,2025,12,12738.290008425713,0.546238851133178,23320,Leh (Ladakh),Raw
2026-01-01,2026,1,14623.819977030158,0.6527325467340724,22404,Leh (Ladakh),Raw
2014-01-01,2014,1,1175.3546710629016,0.37479421908893545,3136,Manali (Himachal),Raw
2014-02-01,2014,2,1263.6017793491483,0.4030627685324237,3135,Manali (Himachal),Raw
2014-03-01,2014,3,1304.1742014959455,0.4158718754770234,3136,Manali (Himachal),Raw
2014-04-01,2014,4,1139.1004511974752,0.36323356224409287,3136,Manali (Himachal),Raw
2014-05-01,2014,5,1381.6567651182413,0.4405793256116841,3136,Manali (Himachal),Raw
2014-06-01,2014,6,956.0529831566382,0.3050583864571277,3134,Manali (Himachal),Raw
2014-07-01,2014,7,847.9453135500662,0.2705632780951073,3134,Manali (Himachal),Raw
2014-08-01,2014,8,1019.9946784749627,0.32525340512594475,3136,Manali (Himachal),Raw
2014-09-01,2014,9,1054.532902278006,0.33626686934885397,3136,Manali (Himachal),Raw
2014-10-01,2014,10,869.0231352937408,0.2771119691625449,3136,Manali (Himachal),Raw
2014-11-01,2014,11,539.0516648606572,0.2243244547901195,2403,Manali (Himachal),Raw
